Stkcd,Mom,R_M12,R_M3,R_M6,R_M9,R_t12,R_t6
1,9.986054872999999,-1.7904819806015435,-16.605506811294312,-31.654179096688466,-18.181883067851626,12.257486878025947,-23.91630979897501
2,5.948575637,1.8497430913107185,-26.103967445534447,-20.798501987364304,-6.285757648103084,24.437237777085038,-18.033366515046662
4,-12.08570791,-23.58665559899225,-14.22310417507152,-12.42169592368264,-18.570772229552823,-37.36106688405393,-11.776128614014967
5,-34.35112278,-43.511438860420064,-23.316072513954765,-28.50242233383543,-41.38615733864298,-33.846151613528036,-18.095258643145584
6,,,-18.085888241550407,,,,
7,,,-6.559684374143593,,,,
8,-23.35165073,-31.181356254538017,-26.7543880368408,-42.74286543950786,-44.51829292937436,-21.186948047921934,-34.19806479163176
9,-29.00434441,-39.28820710994055,-19.275149017883496,-32.22685841993116,-45.49501366781136,-21.85650180058816,-24.605244992229682
10,-29.9009993,-22.574251744961305,-13.30371435532216,-27.85972141675527,-26.91585510696848,-28.915687744439644,-30.994125473911254
11,-32.19999999,-43.150038988056146,-28.937528835743752,-32.28110601754207,-41.39178925018838,-24.288078984093328,-21.070957644157488
12,-15.48241641,-28.51730977076149,-23.734404310707635,-32.03788770636602,-31.058814559308253,-11.199403339554026,-26.115320437604428
14,-21.43703157,-8.906866607903217,24.71598596180036,42.30117909269613,-8.417434110863498,-21.92883575129261,4.999972039333378
16,10.22491592,10.612907627363624,-22.618409728000003,-10.743053039364149,-5.76707912416321,17.173825297867037,-13.064576848176678
17,-38.01371176,-48.05939559200629,-18.604684568902208,-26.61296410670012,-41.74139895366138,-31.17873170220965,-18.712579773716953
18,-21.16413434,-55.787979343502904,-45.66283080744895,-45.75163679595209,-57.9213895370171,-23.48876751098148,-17.318429559518712
19,,,-20.32918256685069,,,,
20,,,-6.108879990405238,-0.07069729159320247,-24.626866003952426,,-0.8005355170680906
21,-6.643253238,-19.909620379633342,-21.375858181983908,-29.37565065939261,-27.20602218706243,-4.6507401915801605,-11.784104352387581
23,-40.26693079,-50.66657760771902,-27.789896446986674,-35.07068866740912,-44.91735092006529,-26.860799138065296,-28.48914087720923
25,-32.7984582,-37.823587889509575,-13.845749395810325,-16.463187342377207,-25.48051176985468,0.08654908097487367,-14.275050369174535
26,-16.23788295,-29.099639785217608,-19.08252590949393,-22.767035934251105,-24.93608101204327,-13.757184091536068,-2.616731524600868
27,-14.41312104,-25.411120573201064,-14.043928403960091,-17.164507171198807,-22.17318437816323,-11.583105300263718,-5.882423666455594
28,-35.33980885,-37.964301350199705,-15.609914674587966,-16.702437092913293,-25.83591635716398,-29.95962832680233,-12.918232433108187
30,-21.14090078,-17.002217535116802,3.776201540077007,-8.507953069756425,-15.681711772547768,-13.03592028076588,-12.530890229572735
31,,,-27.750033399370004,,,,
32,,,-24.850314053673983,-25.14909098841094,-42.73763735587777,,-29.846918841349286
36,-18.41943702,-27.030754925889397,-24.0565941811448,-28.76104707572794,-36.300758816702015,-13.475165420001545,-20.792059151567177
37,-35.32246254,-41.77094237630765,-15.384525628363955,-15.266086092300055,-31.01485123061607,-30.21811127942732,-18.248203193710342
39,-11.29419841,-26.097067757300906,-20.6216650265578,-41.88182279875049,-26.831932503915272,0.2737477621638673,-18.2144332919996
40,-1.214737136,-22.9551014314763,-14.213325747563234,-27.89038721778472,-34.12612786227274,7.357551619332247,-4.4131549452090635
42,-11.00414242,-9.592846108523624,-4.420193958843532,-7.364684658519082,-9.647166043858581,-15.322577411364202,-5.971951450521063
43,-19.14220937,-24.909795578191662,-21.287039940577053,-26.069769305389727,-32.27710425307734,-14.996064442756404,-24.58530548965065
45,-37.91660148,-40.249943929040796,-21.55361750512629,-26.461533690493376,-38.82250573228397,-33.243646155753595,-28.365371975151643
46,,,-28.156505579124502,,,,
49,-39.10773238,-45.11725116019476,-16.760084503050056,-28.17687400391933,-44.44169580280597,-37.329617269242384,-25.59364197648485
50,-20.14768332,-30.380118886860014,-11.613645807811027,-27.533083993040307,-36.54720322002849,-0.691506660352037,-25.15982154348234
55,-14.69771998,-20.903887365942985,-21.228567346463922,-4.980362503403457,-25.315267402906752,-11.914818400066366,-6.896546685090987
56,,,-21.02481212304848,,,,
58,-23.31207953,-35.84833057949496,-21.907093331231547,-30.138481963808307,-39.46418156539232,-18.26018608410438,-31.5613860643244
59,-23.57632986,-31.168715789432998,-23.783144354347247,-27.70194850881405,-37.13497504565472,-21.179454288480347,-24.70472133103221
60,-18.89688886,-32.965764448674804,-20.100264271995037,-32.975834637601075,-38.10523748806425,-7.968082430861813,-16.363303965869314
61,,,-24.822499762044202,-28.846357418801322,-38.204400584494074,,-15.864711052046845
62,-14.38250916,-24.917142084556275,1.423110725590826,-15.200139683035385,-26.55054115333352,-29.611634724858703,-9.863771889116158
65,-39.82331705,-51.253516912466715,-34.61986304476077,-36.30822169771157,-48.411623064265136,-37.50326521068911,-27.360381357837525
66,-12.31985425,-21.08786882814079,-13.29273099999998,-2.4692776500979563,-17.42173921462965,-5.275982064798123,16.86369560397673
68,-39.60121446,-56.695218346240786,-31.991071564574128,-39.802008297044246,-57.12274931383612,-40.61633685062161,-25.08837285065938
69,-21.67006956,-28.13127053644137,-12.257275746773775,-14.840992404612384,-11.505527044192945,-9.718253788996122,-11.361078036343086
70,-27.38284603,-38.06185207831191,-23.392303795962643,-22.07993705742756,-42.87492836257268,-17.760782663861306,-16.018560976034234
78,-6.311985044,-19.24027529221903,-21.018040346971453,-17.46091797521262,-24.732471284015283,-4.8924242418527335,-4.57123317361966
88,-28.52725922,-37.19926127543825,-9.725957099326996,-14.080814108680865,-25.19867122848873,-23.349130621250712,-7.9755020740917555
